,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
0,IFB,2025,1.0,3,Star Split Inverter,4.0,657.31,90,1,48849,46,25990
1,Voltas,2024,1.0,5,Star Split Inverter,4.2,511.13,90,1,63990,48,32800
2,Voltas,2024,1.5,3,Star Split Inverter,4.2,975.26,111 - 150,1,57990,47,30390
3,Godrej,2025,1.5,3,Star Split Inverter,4.0,951.91,111 - 150,5,42300,33,27990
4,realme TechLife,2025,1.0,3,Star Split Inverter,4.2,684.78,90,1,47899,54,21990
5,MarQ,2025,1.0,3,Star Split Inverter,4.2,684.9,90,1,45099,51,21990
6,realme TechLife,2025,1.0,5,Star Split Inverter,4.2,526.8,90,1,50699,50,24990
7,Voltas,2024,1.5,5,Star Split Inverter,4.2,751.28,111 - 150,1,75990,51,36970
8,Voltas,2023,0.6,2,Star Split AC,3.9,475.3,90,1,45808,56,19990
9,Blue Star,2025,1.5,3,Star Split Inverter,4.1,1006.84,111 - 150,1,56400,41,32990
10,Blue Star,2024,0.8,3,Star Split Inverter,4.2,544.39,90,1,42500,40,25490
11,IFB,2025,1.5,3,Star Split Inverter,4.2,946.17,111 - 150,1,57146,47,29990
12,Panasonic,2025,1.5,3,Star Split Inverter,4.2,977.16,111 - 150,1,51900,33,34480
13,Samsung,2025,1.5,3,Star Split Inverter,4.1,852.47,111 - 150,5,72790,53,33991
14,Godrej,2025,2.5,3,Star Split Inverter,4.0,1330.81,111 - 150,5,68000,32,45999
15,IFB,2025,1.5,5,Star Split Inverter,4.1,721.04,111 - 150,1,66365,47,34590
16,Midea,2025,1.5,3,Star Split Inverter,4.3,952.68,111 - 150,1,57400,51,27990
17,Voltas,2024,1.0,3,Star Split Inverter,4.1,672.93,90,1,56390,52,26999
18,Godrej,2025,1.5,4,Star Split Inverter,4.0,835.07,111 - 150,5,46000,36,28990
19,Lloyd,2023,2.0,3,Star Split Inverter,3.9,1261.37,151 - 200,1,77990,52,36890
20,CARRIER,2025,1.0,5,Star Split Inverter,4.1,536.2,90,1,61300,47,31990
21,Samsung,2025,1.5,3,Star Split Inverter,4.1,1047.62,111 - 150,5,63490,40,37491
22,Lloyd,2025,1.5,3,Star Split Inverter,4.1,941.76,111 - 150,1,53990,44,29990
23,Godrej,2025,1.4,3,Star Split Inverter,3.8,905.88,111 - 150,5,40450,34,26690
24,Godrej,2025,1.5,5,Star Split Inverter,4.0,728.37,111 - 150,5,50600,33,33490
25,Daikin,2024,1.5,3,Star Split Inverter,4.2,966.47,111 - 150,1,53830,35,34490
26,Voltas,2024,1.5,5,Star Split Inverter,4.2,751.28,111 - 150,1,75990,51,36970
27,IFB,2025,1.0,3,Star Split Inverter,4.0,657.31,90,1,48849,46,25990
28,Panasonic,2025,1.5,5,Star Split Inverter,4.3,759.55,111 - 150,1,59300,30,41390
29,Samsung,2025,1.5,5,Star Split Inverter,4.3,751.24,111 - 150,5,79190,48,40990
30,Blue Star,2024,0.8,3,Star Split Inverter,4.2,544.39,90,1,42500,40,25490
31,Voltas,2024,1.0,5,Star Split Inverter,4.2,511.13,90,1,63990,48,32800
