Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
IFB 2025,2025.0,1 Ton,3 Star,Star Split Inverter,4.0,657.31 Units,90,1 Year on Product,"₹48,849",46,"₹25,990"
Voltas 2024,2024.0,1 Ton,5 Star,Star Split Inverter,4.2,511.13 Units,90,,"₹63,990",48,"₹32,800"
Voltas 2024,2024.0,1.5 Ton,3 Star,Star Split Inverter,4.2,975.26 Units,111 - 150,,"₹57,990",47,"₹30,390"
Godrej 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.0,951.91 Units,111 - 150,5 Years Warranty on Whole Product,"₹42,300",33,"₹27,990"
realme TechLife,2025.0,1 Ton,3 Star,Star Split Inverter,4.2,684.78 Units,90,1 Year Warranty on Product,"₹47,899",54,"₹21,990"
MarQ by,2025.0,1 Ton,3 Star,Star Split Inverter,4.2,684.9 Units,90,1 Year Warranty on Product,"₹45,099",51,"₹21,990"
realme TechLife,2025.0,1 Ton,5 Star,Star Split Inverter,4.2,526.8 Units,90,1 Year Warranty on Product,"₹50,699",50,"₹24,990"
Voltas 2024,2024.0,1.5 Ton,5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,,"₹75,990",51,"₹36,970"
Voltas 2023,2023.0,0.6 Ton,2 Star,Star Split AC,3.9,475.3 Units,90,,"₹45,808",56,"₹19,990"
Blue Star,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.1,1006.84 Units,111 - 150,1 Year Warranty on Product,"₹56,400",41,"₹32,990"
Blue Star,2024.0,0.8 Ton,3 Star,Star Split Inverter,4.2,544.39 Units,90,1 Year Warranty on Product,"₹42,500",40,"₹25,490"
IFB 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.2,946.17 Units,111 - 150,1 Year on Product,"₹57,146",47,"₹29,990"
Panasonic 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.2,977.16 Units,111 - 150,,"₹51,900",33,"₹34,480"
Samsung 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.1,852.47 Units,111 - 150,5 years comprehensive warranty on product,"₹72,790",53,"₹33,991"
Godrej 2025,2025.0,2.5 Ton,3 Star,Star Split Inverter,4.0,1330.81 Units,,5 Years Warranty on Whole Product,"₹68,000",32,"₹45,999"
IFB 2025,2025.0,1.5 Ton,5 Star,Star Split Inverter,4.1,721.04 Units,111 - 150,1 Year on Product,"₹66,365",47,"₹34,590"
Midea 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",51,"₹27,990"
Voltas 2024,2024.0,1 Ton,3 Star,Star Split Inverter,4.1,672.93 Units,90,,"₹56,390",52,"₹26,999"
Godrej 2025,2025.0,1.5 Ton,4 Star,Star Split Inverter,4.0,835.07 Units,111 - 150,5 Years Warranty on Whole Product,"₹46,000",36,"₹28,990"
Lloyd 2023,2023.0,2 Ton,3 Star,Star Split Inverter,3.9,1261.37 Units,151 - 200,1 Year Comprehensive Warranty on Product,"₹77,990",52,"₹36,890"
CARRIER 2025,2025.0,1 Ton,5 Star,Star Split Inverter,4.1,536.2 Units,90,,"₹61,300",47,"₹31,990"
Samsung 2025,2025.0,1.5 Ton,3 Star,Star Split Inverter,4.1,1047.62 Units,111 - 150,5 years comprehensive warranty on product,"₹63,490",40,"₹37,491"
Lloyd 1,,1.5 Ton,3 Star,Star Split Inverter,4.1,941.76 kWh,111 - 150,1 Year Comprehensive Warranty on AC,"₹53,990",44,"₹29,990"
Godrej 2025,2025.0,1.4 Ton,3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",34,"₹26,690"
Daikin 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,785.67 Units,111 - 150,,"₹61,940",31,"₹42,490"
MarQ by,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,964.1 kWh,111 - 150,1 Year on Product,"₹46,999",46,"₹24,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,(1 Year Standard,"₹48,500",45,"₹26,490"
Oakter 0,,['0.5 Ton'],1 Star,Star Window AC,3.9,348.35 kWh,90,,"₹27,499",38,"₹16,999"
Lloyd 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,941.66 Units,111 - 150,1 Year Warranty on Product,"₹58,990",51,"₹28,900"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,(1 Year Standard,"₹54,700",43,"₹30,990"
Panasonic 2025,2025,['0.9 Ton'],3 Star,Star Split Inverter,4.3,609.19 Units,90,,"₹43,300",44,"₹23,990"
MarQ by,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,781.95 Units,111 - 150,1 Year Warranty on Product,"₹57,999",45,"₹31,490"
Panasonic 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,1215.59 Units,151 - 200,,"₹63,900",33,"₹42,390"
Lloyd 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,951.47 Units,111 - 150,1 Year Warranty on Product,"₹58,990",51,"₹28,850"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,(1 Year Standard,"₹63,500",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,5 Years Warranty on Whole Product,"₹42,300",33,"₹27,990"
MarQ by,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.2,781.88 Units,111 - 150,1 Year Warranty on Product,"₹56,199",48,"₹28,990"
Samsung 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,751.24 Units,111 - 150,5 years comprehensive warranty on product,"₹79,190",48,"₹40,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,,"₹75,990",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year on Product,"₹48,849",46,"₹25,990"
Blue Star,2025,['1.3 Ton'],3 Star,Star Split Inverter,4.1,865.48 Units,111 - 150,,"₹57,500",48,"₹29,390"
LG 2025,2025,['1.5 Ton'],3 Star,Star Split AI,4.1,852.44 kWh,111 - 150,1 Year Comprehensive Warranty on Product,"₹72,990",55,"₹32,490"
Panasonic 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,759.55 Units,111 - 150,,"₹59,300",30,"₹41,390"
